class_id,vertices,n_types,types,n_realizations,K,one_example_mu_to_lambda_per_type
10384,6,3,B2+B3+C3,7,1q^3 + 2q^4 + 2q^5 + 2q^6 + 1q^7 + 1q^8,B2: (3 2) -> (4 6) ; B3: (3 3 2) -> (0 4 6) ; C3: (5 2 3) -> (0 6 4)
10385,6,3,B2+B3+C3,5,2q^4 + 2q^5 + 3q^6 + 2q^7 + 2q^8 + 1q^9 + 1q^10,B2: (3 2) -> (5 6) ; B3: (4 3 2) -> (0 5 6) ; C3: (6 2 3) -> (0 6 5)
10386,5,2,B2+C3,10,0,B2: (3 2) -> (6 3) ; C3: (4 2 3) -> (0 3 6)
10387,6,3,B2+B3+C3,6,1q^4 + 3q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (3 2) -> (6 4) ; B3: (4 3 2) -> (0 6 4) ; C3: (5 2 3) -> (0 4 6)
10388,6,2,B2+C3,2,0,B2: (3 2) -> (6 5) ; C3: (6 2 3) -> (0 5 6)
10389,6,2,B2+B3,3,1q^5 + 3q^6 + 3q^7 + 3q^8 + 2q^9 + 2q^10 + 1q^11 + 1q^12,B2: (3 2) -> (6 6) ; B3: (5 3 2) -> (0 6 6)
10390,5,2,B2+C3,18,0,B2: (10 3) -> (11 6) ; C3: (4 3 3) -> (0 6 4)
10391,6,2,B2+C3,3,0,B2: (3 3) -> (5 6) ; C3: (5 3 3) -> (0 6 5)
10392,5,2,B2+C3,10,0,B2: (3 3) -> (6 4) ; C3: (4 3 3) -> (0 4 6)
10393,6,3,B2+B3+C3,6,2q^4 + 3q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (3 3) -> (6 5) ; B3: (4 3 3) -> (0 6 5) ; C3: (5 3 3) -> (0 5 6)
10394,6,2,B2+C3,2,0,B2: (3 3) -> (6 6) ; C3: (6 3 3) -> (0 6 6)
10395,5,3,B2+B3+C3,22,2q^3 + 2q^4 + 2q^5 + 1q^6 + 1q^7,B2: (10 4) -> (12 6) ; B3: (3 3 4) -> (0 5 6) ; C3: (4 4 3) -> (0 6 5)
10396,5,2,B2+C3,10,0,B2: (3 4) -> (6 5) ; C3: (4 4 3) -> (0 5 6)
10397,6,3,B2+B3+C3,6,2q^4 + 3q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (3 4) -> (6 6) ; B3: (4 3 4) -> (0 6 6) ; C3: (5 4 3) -> (0 6 6)
10398,5,2,B2+C3,10,0,B2: (3 5) -> (6 6) ; C3: (4 5 3) -> (0 6 6)
10399,5,3,B2+B3+C3,30,1q^3 + 1q^4 + 2q^5 + 1q^6 + 1q^7,B2: (10 0) -> (9 6) ; B3: (2 4 0) -> (0 3 6) ; C3: (5 0 4) -> (0 6 3)
10400,6,3,B2+B3+C3,6,1q^3 + 1q^4 + 2q^5 + 2q^6 + 2q^7 + 1q^8 + 1q^9,B2: (4 0) -> (4 6) ; B3: (3 4 0) -> (0 4 6) ; C3: (6 0 4) -> (0 6 4)
