class_id,crosses_families,type,mu,lambda
1,1,A3,6 1 7,6 1 7
1,1,A3,6 1 8,6 1 8
1,1,A3,6 2 0,6 2 0
1,1,A3,6 2 1,6 2 1
1,1,A3,6 2 2,6 2 2
1,1,A3,6 2 3,6 2 3
1,1,A3,6 2 4,6 2 4
1,1,A3,6 2 5,6 2 5
1,1,A3,6 2 6,6 2 6
1,1,A3,6 2 7,6 2 7
1,1,A3,6 2 8,6 2 8
1,1,A3,6 3 0,6 3 0
1,1,A3,6 3 1,6 3 1
1,1,A3,6 3 2,6 3 2
1,1,A3,6 3 3,6 3 3
1,1,A3,6 3 4,6 3 4
1,1,A3,6 3 5,6 3 5
1,1,A3,6 3 6,6 3 6
1,1,A3,6 3 7,6 3 7
1,1,A3,6 3 8,6 3 8
1,1,A3,6 4 0,6 4 0
1,1,A3,6 4 1,6 4 1
1,1,A3,6 4 2,6 4 2
1,1,A3,6 4 3,6 4 3
1,1,A3,6 4 4,6 4 4
1,1,A3,6 4 5,6 4 5
1,1,A3,6 4 6,6 4 6
1,1,A3,6 4 7,6 4 7
1,1,A3,6 4 8,6 4 8
1,1,A3,6 5 0,6 5 0
1,1,A3,6 5 1,6 5 1
1,1,A3,6 5 2,6 5 2
1,1,A3,6 5 3,6 5 3
1,1,A3,6 5 4,6 5 4
1,1,A3,6 5 5,6 5 5
1,1,A3,6 5 6,6 5 6
1,1,A3,6 5 7,6 5 7
1,1,A3,6 5 8,6 5 8
1,1,A3,6 6 0,6 6 0
1,1,A3,6 6 1,6 6 1
1,1,A3,6 6 2,6 6 2
1,1,A3,6 6 3,6 6 3
1,1,A3,6 6 4,6 6 4
1,1,A3,6 6 5,6 6 5
1,1,A3,6 6 6,6 6 6
1,1,A3,6 6 7,6 6 7
1,1,A3,6 6 8,6 6 8
1,1,A3,6 7 0,6 7 0
1,1,A3,6 7 1,6 7 1
1,1,A3,6 7 2,6 7 2
1,1,A3,6 7 3,6 7 3
1,1,A3,6 7 4,6 7 4
1,1,A3,6 7 5,6 7 5
1,1,A3,6 7 6,6 7 6
1,1,A3,6 7 7,6 7 7
1,1,A3,6 7 8,6 7 8
1,1,A3,6 8 0,6 8 0
1,1,A3,6 8 1,6 8 1
1,1,A3,6 8 2,6 8 2
1,1,A3,6 8 3,6 8 3
1,1,A3,6 8 4,6 8 4
1,1,A3,6 8 5,6 8 5
1,1,A3,6 8 6,6 8 6
1,1,A3,6 8 7,6 8 7
1,1,A3,6 8 8,6 8 8
1,1,A3,7 0 0,7 0 0
1,1,A3,7 0 1,7 0 1
1,1,A3,7 0 2,7 0 2
1,1,A3,7 0 3,7 0 3
1,1,A3,7 0 4,7 0 4
1,1,A3,7 0 5,7 0 5
1,1,A3,7 0 6,7 0 6
1,1,A3,7 0 7,7 0 7
1,1,A3,7 0 8,7 0 8
1,1,A3,7 1 0,7 1 0
1,1,A3,7 1 1,7 1 1
1,1,A3,7 1 2,7 1 2
1,1,A3,7 1 3,7 1 3
1,1,A3,7 1 4,7 1 4
1,1,A3,7 1 5,7 1 5
1,1,A3,7 1 6,7 1 6
1,1,A3,7 1 7,7 1 7
1,1,A3,7 1 8,7 1 8
1,1,A3,7 2 0,7 2 0
1,1,A3,7 2 1,7 2 1
1,1,A3,7 2 2,7 2 2
1,1,A3,7 2 3,7 2 3
1,1,A3,7 2 4,7 2 4
